"Date","Price","Open","High","Low","Vol.","Change %"
"2023-12-15","71.43","71.61","72.22","70.30","","-0.21%"
"2023-12-14","71.58","69.85","72.46","69.54","275.69K","3.04%"
"2023-12-13","69.47","68.73","69.89","67.71","307.00K","1.25%"
"2023-12-12","68.61","71.43","71.96","68.22","324.53K","-3.80%"
"2023-12-11","71.32","71.15","71.81","70.35","274.41K","0.13%"
"2023-12-08","71.23","69.76","71.63","69.50","302.25K","2.73%"
"2023-12-07","69.34","69.28","70.48","68.80","339.00K","-0.06%"
"2023-12-06","69.38","72.10","72.60","69.11","436.80K","-4.07%"
"2023-12-05","72.32","73.30","74.12","72.02","358.70K","-0.99%"
"2023-12-04","73.04","74.58","75.03","72.63","388.83K","-1.39%"
"2023-12-01","74.07","75.59","76.76","73.93","358.98K","-2.49%"
"2023-11-30","75.96","77.75","79.60","75.05","559.17K","-2.44%"
"2023-11-29","77.86","76.56","78.09","75.67","322.17K","1.90%"
"2023-11-28","76.41","75.07","77.02","74.64","286.62K","2.07%"
"2023-11-27","74.86","75.31","76.23","74.06","289.56K","-0.90%"
"2023-11-24","75.54","76.79","77.09","75.07","281.15K","-1.05%"
"2023-11-23","76.34","76.69","76.81","75.31","","-0.99%"
"2023-11-22","77.10","77.77","77.97","73.79","389.33K","-0.86%"
"2023-11-21","77.77","77.65","77.92","76.92","238.63K","0.22%"
"2023-11-20","77.60","75.65","78.22","75.65","27.25K","2.25%"
"2023-11-17","75.89","72.97","75.99","72.75","101.48K","4.10%"
"2023-11-16","72.90","76.60","76.63","72.16","125.17K","-4.90%"
"2023-11-15","76.66","78.17","78.77","76.31","282.30K","-2.04%"
"2023-11-14","78.26","78.53","79.77","77.79","263.00K","0.00%"
"2023-11-13","78.26","77.15","78.64","76.21","262.90K","1.41%"
"2023-11-10","77.17","75.59","77.73","75.31","267.00K","1.89%"
"2023-11-09","75.74","75.65","77.16","75.21","303.43K","0.54%"
"2023-11-08","75.33","77.12","77.53","74.91","429.65K","-2.64%"
"2023-11-07","77.37","80.93","81.05","77.09","396.29K","-4.27%"
"2023-11-06","80.82","81.13","82.24","80.66","271.13K","0.39%"
"2023-11-03","80.51","82.58","83.60","80.10","457.28K","-2.36%"
"2023-11-02","82.46","80.82","82.83","80.22","307.12K","2.51%"
"2023-11-01","80.44","81.48","83.42","80.30","321.59K","-0.72%"
"2023-10-31","81.02","82.59","83.37","80.74","346.01K","-1.57%"
"2023-10-30","82.31","85.00","85.30","81.82","356.93K","-3.78%"
"2023-10-27","85.54","83.53","85.90","83.10","333.76K","2.80%"
"2023-10-26","83.21","85.37","85.59","82.56","341.79K","-2.55%"
"2023-10-25","85.39","83.69","85.56","82.08","429.46K","1.97%"
"2023-10-24","83.74","86.15","86.30","82.94","370.59K","-2.05%"
"2023-10-23","85.49","88.00","88.29","85.35","315.52K","-3.67%"
"2023-10-20","88.75","90.28","90.78","88.33","27.31K","-0.69%"
"2023-10-19","89.37","88.24","90.68","86.60","72.06K","1.19%"
"2023-10-18","88.32","87.81","89.88","87.20","92.80K","1.92%"
"2023-10-17","86.66","87.06","87.75","85.60","197.12K","0.00%"
"2023-10-16","86.66","87.72","88.33","86.32","235.78K","-1.17%"
"2023-10-13","87.69","83.51","87.83","83.35","356.86K","5.77%"
"2023-10-12","82.91","83.20","85.20","82.31","373.49K","-0.69%"
"2023-10-11","83.49","85.96","86.51","83.11","425.40K","-2.88%"
"2023-10-10","85.97","86.43","86.74","85.12","337.65K","-0.47%"
"2023-10-09","86.38","85.25","87.24","84.67","435.04K","4.34%"
"2023-10-06","82.79","82.28","83.28","81.50","461.14K","0.58%"
"2023-10-05","82.31","84.45","84.92","82.15","466.00K","-2.27%"
"2023-10-04","84.22","89.42","89.59","84.16","460.00K","-5.61%"
"2023-10-03","89.23","88.67","90.27","87.76","350.66K","0.46%"
"2023-10-02","88.82","90.82","91.88","88.46","334.49K","-2.17%"
"2023-09-29","90.79","91.76","93.10","90.35","355.78K","-1.00%"
"2023-09-28","91.71","93.78","95.03","91.39","406.71K","-2.10%"
"2023-09-27","93.68","90.53","94.17","90.40","504.63K","3.64%"
"2023-09-26","90.39","89.88","90.74","88.19","318.02K","0.79%"
"2023-09-25","89.68","90.55","90.83","89.03","328.37K","-0.39%"
"2023-09-22","90.03","89.62","91.33","89.31","402.09K","0.45%"
"2023-09-21","89.63","89.30","90.98","88.37","351.03K","-0.72%"
"2023-09-20","90.28","91.55","91.98","89.87","35.99K","-1.01%"
"2023-09-19","91.20","92.22","93.74","91.07","94.60K","-0.31%"
"2023-09-18","91.48","91.20","92.43","90.75","119.26K","0.78%"
"2023-09-15","90.77","90.67","91.23","89.22","315.00K","0.68%"
"2023-09-14","90.16","88.81","90.79","88.68","325.27K","1.85%"
"2023-09-13","88.52","88.75","89.64","88.29","345.97K","-0.36%"
"2023-09-12","88.84","87.27","89.37","87.22","341.14K","1.78%"
"2023-09-11","87.29","87.40","88.15","86.71","292.39K","-0.25%"
"2023-09-08","87.51","86.78","87.95","86.15","294.44K","0.74%"
"2023-09-07","86.87","87.54","87.74","86.39","270.74K","-0.77%"
"2023-09-06","87.54","86.72","88.08","85.93","307.12K","0.98%"
"2023-09-05","86.69","86.06","88.07","85.02","452.91K","1.01%"
"2023-09-04","85.82","85.85","86.14","85.28","","-0.03%"
"2023-09-03","85.85","86.06","86.06","85.73","","0.35%"
"2023-09-01","85.55","83.63","86.06","83.46","420.46K","2.30%"
"2023-08-31","83.63","81.70","83.69","81.48","368.85K","2.45%"
"2023-08-30","81.63","81.29","82.05","80.88","299.42K","0.58%"
"2023-08-29","81.16","79.98","81.41","79.34","284.17K","1.32%"
"2023-08-28","80.10","80.15","80.87","79.61","246.58K","0.34%"
"2023-08-25","79.83","78.88","80.45","78.14","411.41K","0.99%"
"2023-08-24","79.05","78.57","79.28","77.59","349.23K","0.20%"
"2023-08-23","78.89","79.64","79.91","77.62","378.15K","-1.82%"
"2023-08-22","80.35","80.80","80.99","80.10","21.69K","-0.46%"
"2023-08-21","80.72","81.43","82.47","80.61","115.87K","-0.65%"
"2023-08-18","81.25","80.04","81.61","79.59","128.09K","1.07%"
"2023-08-17","80.39","79.25","81.08","78.95","235.58K","1.27%"
"2023-08-16","79.38","81.23","81.43","79.05","325.40K","-1.99%"
"2023-08-15","80.99","82.52","82.91","80.40","303.21K","-1.84%"
"2023-08-14","82.51","83.09","83.20","81.76","277.35K","-0.82%"
"2023-08-11","83.19","82.83","83.81","82.23","331.25K","0.45%"
"2023-08-10","82.82","84.25","84.89","82.58","362.19K","-1.87%"
"2023-08-09","84.40","82.88","84.65","82.67","478.14K","1.78%"
"2023-08-08","82.92","82.53","83.08","79.90","424.55K","1.20%"
"2023-08-07","81.94","82.82","83.30","81.52","293.04K","-1.06%"
"2023-08-04","82.82","81.73","83.24","81.51","320.87K","1.56%"
"2023-08-03","81.55","79.77","81.86","78.69","402.64K","2.59%"
"2023-08-02","79.49","82.05","82.43","79.05","414.83K","-2.31%"
"2023-08-01","81.37","81.73","82.22","80.59","307.86K","-0.53%"
"2023-07-31","81.80","80.65","82.00","80.13","297.27K","1.51%"
"2023-07-28","80.58","79.84","80.71","79.07","299.55K","0.61%"
"2023-07-27","80.09","78.90","80.60","78.87","374.36K","1.66%"
"2023-07-26","78.78","79.34","79.77","78.55","322.03K","-1.07%"
"2023-07-25","79.63","78.85","79.90","78.29","349.60K","1.13%"
"2023-07-24","78.74","77.01","79.28","76.44","368.29K","2.17%"
"2023-07-21","77.07","75.70","77.29","75.69","308.11K","1.90%"
"2023-07-20","75.63","75.35","76.15","74.72","23.71K","0.37%"
"2023-07-19","75.35","75.84","76.97","75.07","92.92K","-0.53%"
"2023-07-18","75.75","74.18","75.96","73.88","125.09K","2.16%"
"2023-07-17","74.15","75.02","76.09","73.84","244.79K","-1.68%"
"2023-07-14","75.42","77.16","77.30","75.11","299.58K","-1.91%"
"2023-07-13","76.89","75.85","77.33","75.32","379.73K","1.50%"
"2023-07-12","75.75","74.83","76.15","74.67","352.89K","1.23%"
"2023-07-11","74.83","73.19","74.96","72.98","326.88K","2.52%"
"2023-07-10","72.99","73.86","74.15","72.67","301.01K","-1.18%"
"2023-07-07","73.86","71.89","73.92","71.19","362.63K","2.87%"
"2023-07-06","71.80","71.80","72.34","70.22","395.38K","0.01%"
"2023-07-05","71.79","70.15","72.17","69.90","456.81K","1.03%"
"2023-07-04","71.06","70.08","71.34","69.91","","1.82%"
"2023-07-03","69.79","70.45","71.77","69.69","303.48K","-1.20%"
"2023-06-30","70.64","69.82","71.04","69.53","299.87K","1.12%"
"2023-06-29","69.86","69.25","70.60","68.93","292.87K","0.43%"
"2023-06-28","69.56","68.01","69.73","67.05","368.30K","2.75%"
"2023-06-27","67.70","69.49","70.15","67.50","384.75K","-2.41%"
"2023-06-26","69.37","69.84","70.11","68.71","280.12K","0.30%"
"2023-06-23","69.16","69.53","69.65","67.35","322.48K","-0.50%"
"2023-06-22","69.51","72.43","72.65","68.93","421.35K","-4.16%"
"2023-06-21","72.53","70.90","72.72","70.80","264.66K","2.88%"
"2023-06-20","70.50","71.45","72.09","69.65","28.74K","-1.14%"
"2023-06-19","71.31","71.47","72.25","70.83","","-0.22%"
"2023-06-18","71.47","71.59","71.67","71.42","","-0.43%"
"2023-06-16","71.78","70.55","71.89","69.95","99.19K","1.64%"
"2023-06-15","70.62","68.70","70.96","67.97","115.61K","3.44%"
"2023-06-14","68.27","69.35","70.49","68.07","304.45K","-1.66%"
"2023-06-13","69.42","67.31","69.83","67.15","366.35K","3.43%"
"2023-06-12","67.12","70.27","70.33","66.80","404.77K","-4.35%"
"2023-06-09","70.17","70.94","71.77","70.10","300.72K","-1.57%"
"2023-06-08","71.29","72.47","73.28","69.03","485.40K","-1.71%"
"2023-06-07","72.53","71.56","73.19","71.01","299.13K","1.10%"
"2023-06-06","71.74","71.99","72.33","70.13","314.96K","-0.57%"
"2023-06-05","72.15","75.03","75.06","71.73","383.94K","0.57%"
"2023-06-02","71.74","70.21","72.17","70.00","322.60K","2.34%"
"2023-06-01","70.10","67.60","71.07","67.51","395.39K","2.95%"
"2023-05-31","68.09","69.62","69.69","67.03","444.79K","-1.97%"
"2023-05-30","69.46","73.23","73.55","69.02","440.86K","-4.68%"
"2023-05-29","72.87","73.22","73.55","72.05","","-0.48%"
"2023-05-28","73.22","73.11","73.45","73.06","","0.76%"
"2023-05-26","72.67","71.89","73.05","71.49","261.50K","1.17%"
"2023-05-25","71.83","74.21","74.37","70.98","422.64K","-3.38%"
"2023-05-24","74.34","73.77","74.73","73.13","386.61K","1.96%"
"2023-05-23","72.91","72.10","73.79","71.71","317.59K","1.28%"
"2023-05-22","71.99","71.70","72.36","70.55","18.68K","0.61%"
"2023-05-19","71.55","71.94","73.40","71.03","69.95K","-0.43%"
"2023-05-18","71.86","72.75","72.87","71.42","80.86K","-1.33%"
"2023-05-17","72.83","70.60","73.26","70.04","273.71K","2.78%"
