Date,Price,Open,High,Low,Change %
12/12/2023,113.93,116.98,117.02,113.63,-2.67%
12/11/2023,117.05,116.35,117.18,115.19,-0.88%
12/8/2023,118.09,117.51,119.46,116.9,-1.19%
12/7/2023,119.51,120.25,120.38,118.57,-0.41%
12/6/2023,120,121.13,121.95,119.95,-0.07%
12/5/2023,120.08,121.88,121.91,119.19,-1.94%
12/4/2023,122.45,123.22,123.77,121.55,-2.66%
12/1/2023,125.8,123.13,125.94,122.82,1.99%
11/30/2023,123.35,122.36,123.43,121.63,0.24%
11/29/2023,123.05,122.98,123.5,122.2,-0.28%
11/28/2023,123.4,119.95,123.43,119.4,4.07%
11/27/2023,118.57,118.13,119.05,117.16,1.63%
11/24/2023,116.67,116.02,117.52,116.02,0.56%
11/22/2023,116.02,116.04,116.34,115.03,0.47%
11/21/2023,115.48,114.78,117.26,114.78,2.12%
11/20/2023,113.08,111.82,113.2,111.32,0.14%
11/17/2023,112.92,114.01,114.43,112.62,-0.38%
11/16/2023,113.35,112.02,115.13,112.02,1.59%
11/15/2023,111.58,112.17,112.61,110.96,-0.48%
11/14/2023,112.12,109.05,112.73,108.62,5.06%
11/13/2023,106.72,107.54,108.39,106.7,-1.08%
11/10/2023,107.89,108.45,108.52,106.95,-0.92%
11/9/2023,108.89,109.03,111.48,108.05,-0.25%
11/8/2023,109.16,111.51,112.02,108.65,-2.82%
11/7/2023,112.33,113.49,113.71,110.37,-2.36%
11/6/2023,115.05,115.87,116.4,114.96,-1.03%
11/3/2023,116.25,112.92,117.35,112.91,4.22%
11/2/2023,111.54,111.59,112.03,110.19,0.77%
11/1/2023,110.69,111.7,111.77,109.08,-0.50%
10/31/2023,111.25,113.05,113.98,110.33,-2.15%
10/30/2023,113.7,115.28,115.61,113.18,-1.19%
10/27/2023,115.07,113.52,115.14,111.71,1.93%
10/26/2023,112.89,113.99,114.24,111.25,-0.83%
10/25/2023,113.83,115.05,116.75,113.83,-1.63%
10/24/2023,115.72,114.36,116.04,114.34,0.11%
10/23/2023,115.59,115.58,116.76,112.9,-0.64%
10/20/2023,116.33,116.99,118.96,116.28,-0.13%
10/19/2023,116.48,116.31,116.88,114.89,-0.09%
10/18/2023,116.58,118.53,119.32,116.2,-0.55%
10/17/2023,117.22,114.63,117.24,114.36,2.17%
